Access_Point_ID,Access_Type,Tidal_Wetland_Access,Service_Type,County_Name,Subembayment_Name,OLU_Name,SFBRA_Project_Name,SFBRA_Project_Status,SFBRA_Project_Site_Name,SFBRA_Zone,Shoreline_Park_Name,CPAD_ID,TPL_ID,BayTrail_SegID,WaterTrail_ID,mean_Trail_Quality_Score,Public_Transit_Stops,sum_n_routes,sum_n_arrivals,mean_n_arrivals,sum_n_hours_in_service,mean_n_hours_in_service,Workgroup_Addition,SUM_Estimated_Total_Population,SUM_Estimated_Low_Income_Households,SUM_Estimated_People_of_Color,SUM_Estimated_Total_Households,SUM_Estimated_Average_Household_Size,SUM_Estimated_Renter_Households,SUM_Estimated_Children_Under_5,SUM_Estimated_Households_With_No_Vehicle,SUM_Estimated_Households_With_Disability,SUM_Estimated_Single_Parent_Households,SUM_Estimated_Seniors_Living_Alone,SUM_Estimated_Population_With_No_High_School_Diploma,SUM_Estimated_Mortgage_Housing_Cost_Burden,SUM_Estimated_Limited_English_Proficiency_Households,SUM_Estimated_Below_200_Percent_Poverty,SUM_Estimated_Rent_Housing_Cost_Burden,SUM_Estimated_Non_Citizens,SUM_Estimated_Households_Below_50_Percent_Median_AMI,SUM_Estimated_Foreign_Born,SUM_Estimated_Spanish_LEP,SUM_Estimated_Chinese_LEP,SUM_Estimated_Vietnamese_LEP,SUM_Estimated_Tagalog_LEP,SUM_Estimated_Latino_Population,SUM_Estimated_Black_Population,SUM_Estimated_American_Indian_Population,SUM_Estimated_Asian_Population,SUM_Estimated_Pacific_Islander_Population,SUM_Estimated_Other_Race_Population,SUM_Estimated_Two_Or_More_Races_Population,SUM_Estimated_Population_Under_10,SUM_Estimated_Population_Under_18,SUM_Low_Vuln_Households,SUM_Moderate_Vuln_Households,SUM_High_Vuln_Households,SUM_Highest_Vuln_Households,SFBRA_Site
1477,Marsh,Potentially,Bike,Napa,San Pablo Bay,Napa - Sonoma,,,,North Bay,,,,,,2.185779815629387,0,0.000000000000000,0.000000000000000,,0.000000000000000,,,856.718810031821477,6.780970019141896,175.056094441531542,77.719411965520095,1.984794073324472,5.174950804081972,4.996504224630869,1.070679476706615,11.955920823223869,8.208542654750715,0.713786317804410,24.268734805349933,5.888737121886381,1.070679476706615,37.652228264182618,0.000000000000000,48.359023031248775,6.780970019141896,243.117652495153266,101.214168302466405,20.279222131457328,4.282717906826460,14.454172935539303,52.820187517526328,2.319805532864331,4.818057645179766,101.179210548775117,0.000000000000000,29.443685609431903,25.160967702605443,28.551452712176399,58.352031480510497,0.000000000000000,43.719411965520102,0.000000000000000,0.000000000000000,No
1477,Marsh,Potentially,Drive,Napa,San Pablo Bay,Napa - Sonoma,,,,North Bay,,,,,,2.185779815629387,0,0.000000000000000,0.000000000000000,,0.000000000000000,,,29373.903156907959783,2425.054910137741444,14613.583422347968735,10287.196675518745906,58.442319491721307,5011.179400651670221,1574.292072231008888,493.481243820597911,2611.517020960503487,1135.983207949367625,1157.748248392544156,3318.336810747270647,613.403172036597766,689.233077923479073,7521.920159727061218,1155.277863958150874,10654.619678866451068,2425.054910137741444,16502.000685353170411,10660.484388007384041,164.053603351716049,6.536628345835626,116.731420378254185,12598.523148876443884,198.812732143863258,248.034984135106157,978.159731083783868,45.238364326451453,3846.563944475908102,3127.438446386237956,3418.202543433299979,6357.612156745312859,3553.004668768170632,2426.348560312740119,3229.590228440840747,1044.253217996994636,No
1538,Marsh,Potentially,Walk,Napa,San Pablo Bay,Napa - Sonoma,,,,North Bay,,,,,,,0,0.000000000000000,0.000000000000000,,0.000000000000000,,,176.916890063528911,5.927627759860504,62.012105795463739,59.048291915533476,0.670277908230380,10.715327104363219,1.595899781500905,0.000000000000000,7.979498907504524,2.507842513787137,2.735828196858694,15.275040765794374,11.855255519721009,4.103742295288042,31.462024263874994,4.559713661431156,18.694826011867740,5.927627759860504,48.788936177313396,18.010868962653074,3.647770929144927,0.000000000000000,0.000000000000000,37.389652023735479,3.191799563001810,0.000000000000000,12.539212568935680,0.000000000000000,27.814253334730054,10.259355738220105,10.259355738220105,20.746697159511765,59.048291915533476,0.000000000000000,0.000000000000000,0.000000000000000,No
1538,Marsh,Potentially,Bike,Napa,San Pablo Bay,Napa - Sonoma,,,,North Bay,,,,,,,0,0.000000000000000,0.000000000000000,,0.000000000000000,,,720.697634237845136,24.147085683226766,252.615665609141615,240.542122767528213,2.730478150334104,43.650501042756083,6.501138453176440,0.000000000000000,32.505692265882175,10.216074712134406,11.144808776873901,62.225182337545903,48.294171366453533,16.717213165310849,128.165300934049753,18.574681294789826,76.156193308638237,24.147085683226766,198.749089854251167,73.369991114419818,14.859745035831853,0.000000000000000,0.000000000000000,152.312386617276474,13.002276906352879,0.000000000000000,51.080373560672015,0.000000000000000,113.305555898217946,41.793032913277131,41.793032913277131,84.514799891293734,240.542122767528213,0.000000000000000,0.000000000000000,0.000000000000000,No
1538,Marsh,Potentially,Drive,Napa,San Pablo Bay,Napa - Sonoma,,,,North Bay,,,,,,,0,0.000000000000000,0.000000000000000,,0.000000000000000,,,1041.574903709231876,52.154420564025969,302.943963127562995,356.580442975430628,3.479547925646598,65.439042768693753,9.259340136700208,3.051241727459543,74.774956806456771,13.605959680124759,25.499095684066781,76.747064583663047,55.488973488699230,17.271356649815804,199.795322463319337,24.784339444582269,99.530776542356591,52.154420564025969,259.751050976394140,95.889406668855784,19.420639325337874,0.000000000000000,0.000000000000000,164.735083650793314,17.247329553625608,16.019019069162603,66.504177536893991,0.000000000000000,119.604118732745576,45.721093064089132,57.671789829972340,128.762336527616469,356.580442975430628,0.000000000000000,0.000000000000000,0.000000000000000,No
2109,Water Trail,Yes,Walk,Napa,San Pablo Bay,Napa - Sonoma,,,,North Bay,,,,,N1,,0,0.000000000000000,0.000000000000000,,0.000000000000000,,,55.302365762155290,1.852914316773244,19.384334390858555,18.457877232471937,0.209521849665898,3.349498957243942,0.498861546823566,0.000000000000000,2.494307734117829,0.783925287865603,0.855191223126113,4.774817662454129,3.705828633546489,1.282786834689169,9.834699065950296,1.425318705210188,5.843806691361772,1.852914316773244,15.250910145749012,5.630008885580243,1.140254964168151,0.000000000000000,0.000000000000000,11.687613382723544,0.997723093647132,0.000000000000000,3.919626439328017,0.000000000000000,8.694444101782146,3.206967086722923,3.206967086722923,6.485200108706356,18.457877232471937,0.000000000000000,0.000000000000000,0.000000000000000,No
2109,Water Trail,Yes,Bike,Napa,San Pablo Bay,Napa - Sonoma,,,,North Bay,,,,,N1,,0,0.000000000000000,0.000000000000000,,0.000000000000000,,,186.382363827265152,10.540826276413057,68.810579098718264,66.060711503262439,0.473774361254965,26.038459780515893,6.447367319399111,2.520545542750696,16.044240989021390,7.105467704555632,6.353430785299055,18.712118359560719,7.511442711552167,4.896415988245284,36.351053297136076,7.084050267902340,26.602986729209785,10.540826276413057,52.241148061431616,22.926904441919792,3.039762436424177,0.000000000000000,0.000000000000000,49.590645508211495,2.252431236073063,0.000000000000000,9.863602087498354,0.000000000000000,23.789229921431492,10.102395267673225,17.180290832165078,29.560395843080038,36.017845438153138,0.000000000000000,30.042866065109301,0.000000000000000,No
2109,Water Trail,Yes,Drive,Napa,San Pablo Bay,Napa - Sonoma,,,,North Bay,,,,,N1,,0,0.000000000000000,0.000000000000000,,0.000000000000000,,,1188.162067361149184,54.123501866812909,376.310473890662308,408.578775156434347,3.685207528382123,88.703373716435976,10.280345256663816,7.572835830155521,81.192703274799456,14.262320114387062,27.832821672555024,85.352679166213449,60.593999088517243,17.271356649815800,225.028734713848337,25.440699878844583,143.069352015090516,54.123501866812909,324.147302471241858,130.093078187636564,21.754365313826121,0.000000000000000,0.000000000000000,225.484888288627957,17.247329553625615,16.019019069162603,67.525182656857595,0.000000000000000,146.587825474640852,73.944591737368796,61.099449875564424,137.805524733008298,408.578775156434347,0.000000000000000,0.000000000000000,0.000000000000000,No
511,Shoreline Park,No,Walk,Napa,San Pablo Bay,Napa - Sonoma,,,,North Bay,Riverside Park,14477,0650258-0056,,,,10,24.000000000000000,484.000000000000000,48.399999999999999,114.000000000000000,11.400000000000000,,2222.085298635532126,332.060469835391871,1235.283189283781894,917.981856581188595,5.910552033904779,613.270927201218342,121.105465718615292,43.899726476599561,209.767448318087361,97.909153514351488,129.681793416875337,293.491850823016193,47.312117693096617,67.393880975423400,656.859735226599923,128.621213868172390,807.454704522804946,332.060469835391871,1419.067654747013194,786.356399596348979,0.436839021314595,0.000000000000000,1.258818823673453,1102.311865239014878,44.121805491279638,1.248111489470270,44.333386022503092,32.187216723420562,429.050296320313578,234.028484744131646,259.339691538934005,439.493347523457317,162.247300065039383,463.558388125717670,292.176168390431371,0.000000000000000,No
511,Shoreline Park,No,Bike,Napa,San Pablo Bay,Napa - Sonoma,,,,North Bay,Riverside Park,14477,0650258-0056,,,,10,24.000000000000000,484.000000000000000,48.399999999999999,114.000000000000000,11.400000000000000,,53635.031774342271092,4286.388391159216553,28110.477182184844423,18901.805227079366887,109.159848194997252,9356.258451472220258,3088.983308989557827,976.351678008220574,4743.118701055385827,2072.666023634310932,2134.815962113418209,6854.123382094870067,969.183545894885810,1207.996712381929228,12680.425381900955472,2124.874122059790352,21406.705668321144913,4286.388391159216553,37231.306141482498788,26298.707121344206826,229.166298911849964,3.302841508100942,230.804550181866858,24543.540971283709951,368.288980952879001,391.688106856633283,1464.434162171555272,56.697427104900441,8470.858847363404493,5757.688336451314171,6331.411272950944294,12384.736382980378039,7910.069185204442874,4225.945047925829385,5607.790993949101903,1158.000000000000000,No
